epoch,accuracy,f1,loss,val_accuracy,val_f1,val_loss
0,0.20974864,0.016352396,2.2036717410968696,0.23888889,0.18030363,5.574855322308011
1,0.22809103,0.0012787723,2.0895837318638097,0.23055555,0.0,2.052381345960829
2,0.23980978,0.00031969306,2.059717509733594,0.23194444,0.0,2.055279514524672
3,0.25118884,0.00031969306,2.0505786978680156,0.23055555,0.0,2.066029911571079
4,0.25237772,0.00031969306,2.042128685699857,0.23888889,0.043113414,2.508429431915283
5,0.2508492,0.0005175983,2.045801900975082,0.23888889,0.0,2.0876498328314885
6,0.2505095,0.00031969306,2.0386718090461646,0.23888889,0.0,2.0482164144515993
7,0.25203803,0.0,2.0371721785353576,0.23333333,0.0,2.057923110326131
8,0.2532269,0.00031969306,2.037553040553694,0.23888889,0.0,2.0558846288257175
9,0.2537364,0.0,2.030590163624805,0.23472223,0.0,2.123820095592075
10,0.25424594,0.0,2.0322114734545997,0.23888889,0.0,2.068068427509732
11,0.2550951,0.0,2.034356326836607,0.23888889,0.0,2.064217323727078
12,0.2545856,0.0,2.030243542207324,0.23888889,0.0,2.058398636182149
13,0.25560462,0.0,2.0334986937434776,0.23888889,0.0,2.0531233284208508
14,0.25475544,0.0,2.0271006514844685,0.2375,0.0,2.0562720616658527
15,0.2545856,0.0,2.0256238936082176,0.2375,0.0,2.055327139960395
16,0.2540761,0.0,2.024102884142295,0.2375,0.0,2.059551241662767
0,0.14204545,0.029905418,2.5601916204799307,0.16666667,0.13077901,25.060202598571777
1,0.17992425,0.026227178,2.293861320524505,0.125,0.069206335,10.215683182080587
2,0.23863636,0.017251981,2.2190544496883047,0.21875,0.0,2.1583677530288696
3,0.24431819,0.016855862,2.166764179865519,0.22916667,0.0,2.1398295362790427
4,0.24621212,0.027787676,2.093137766375686,0.20833333,0.02777777,4.6403433084487915
5,0.22727273,0.024184046,2.122810266234658,0.21875,0.0,2.1417758067448935
6,0.22348484,0.013509708,2.1264139702825835,0.16666667,0.0,2.217174530029297
7,0.22537878,0.051516183,2.0790114475019053,0.22916667,0.0,2.124323089917501
8,0.2556818,0.051140916,2.0332094792163735,0.125,0.0,2.2306780417760215
9,0.23863636,0.061836097,2.0664401957483003,0.19791667,0.0,2.235982060432434
10,0.25189394,0.035675634,2.0289921652187,0.22916667,0.041666657,2.4552521308263144
11,0.2594697,0.095078446,1.9637688831849531,0.20833333,0.15777938,2.931636333465576
