epoch,accuracy,f1,loss,val_accuracy,val_f1,val_loss
12,0.27651516,0.1258095,1.992571563431711,0.16666667,0.0,2.21734352906545
13,0.31060606,0.08681341,1.9233289595806238,0.14583333,0.0,2.259527027606964
14,0.29166666,0.12249919,1.9153834834243313,0.114583336,0.0,2.3616303205490112
15,0.32007575,0.1416278,1.8212096293767293,0.19791667,0.0,2.2766608397165933
16,0.3314394,0.17799905,1.761891827438817,0.16666667,0.01960784,2.2647478183110556
17,0.38636363,0.20582812,1.6840838627381758,0.17708333,0.038126353,2.2836326559384665
0,0.29545453,0.16077758,2.2337225314342612,0.072916664,0.07291663,62.94352722167969
1,0.35795453,0.28508928,1.9793057369463372,0.104166664,0.0709013,5.571624120076497
2,0.38825756,0.27587724,1.7960468277786716,0.29166666,0.09075793,2.0043386022249856
3,0.42613637,0.31504902,1.706878084124941,0.09375,0.07859346,8.602220296859741
4,0.4280303,0.32769293,1.6261509548534046,0.25,0.108225085,2.1729036569595337
5,0.46022728,0.34565192,1.5202841018185471,0.27083334,0.15664485,2.3282663424809775
6,0.5037879,0.42300588,1.4536022814837368,0.19791667,0.19528532,2.542827526728312
7,0.47537878,0.3854835,1.542359633879228,0.20833333,0.19687589,2.8261877298355103
8,0.532197,0.50282115,1.3959276044007503,0.13541667,0.13777773,2.855474909146627
9,0.51704544,0.44507757,1.4326774640516802,0.36458334,0.29871237,2.319182872772217
10,0.5890151,0.48856685,1.2814795338746272,0.36458334,0.32011887,2.0775440335273743
11,0.6136364,0.54769987,1.1626723553195144,0.34375,0.33032468,2.306079069773356
12,0.6306818,0.57902837,1.133012132211165,0.375,0.3185265,2.1649756828943887
0,0.28787878,0.1843955,2.1596826206554067,0.17708333,0.1790994,23.127896626790363
1,0.39962122,0.33154663,1.7520891500241829,0.1875,0.16956957,3.737277626991272
2,0.41666666,0.34853384,1.6879032597397312,0.21875,0.06754385,2.6403287251790366
3,0.4526515,0.41707686,1.5292260881626245,0.25,0.20077969,2.2061822613080344
4,0.47916666,0.39100987,1.547468282959678,0.28125,0.22362912,2.0243966778119407
5,0.5037879,0.43448165,1.4383062286810442,0.27083334,0.20650631,2.4092512130737305
6,0.49621212,0.4307545,1.4283195499217871,0.29166666,0.23678207,2.1483155488967896
7,0.530303,0.4544715,1.3247575362523396,0.39583334,0.25008455,1.7465372681617737
8,0.5435606,0.49777862,1.2613851717024138,0.38541666,0.26588866,1.9130550622940063
9,0.56439394,0.5200961,1.2365088119651333,0.38541666,0.40590528,1.9668774008750916
10,0.58522725,0.5405101,1.1675746224143289,0.4375,0.30743143,1.7148915529251099
11,0.59090906,0.52408457,1.1764019240032544,0.40625,0.34892854,2.0224921504656472
12,0.5984849,0.57763326,1.107500191890832,0.34375,0.3181967,2.382927934328715
13,0.64772725,0.607529,1.0646121574170662,0.45833334,0.4331052,2.0386993090311685
14,0.6212121,0.5808092,1.0743046095876982,0.29166666,0.28261176,2.663672467072805
15,0.6439394,0.5997534,1.0655085083210107,0.40625,0.33936283,2.111919403076172
16,0.6723485,0.64049417,0.9271371256221425,0.47916666,0.43677744,1.665726860364278
17,0.6761364,0.6412606,0.9894571521065452,0.44791666,0.4360176,2.759830633799235
18,0.70075756,0.6504183,0.8745583440318252,0.44791666,0.45580363,2.1080767015616098
19,0.6875,0.67503154,0.8727742054245688,0.42708334,0.45185181,2.0439165234565735
20,0.717803,0.6969263,0.8438335756460825,0.46875,0.43059823,2.193504015604655
21,0.71022725,0.6944253,0.8562874667572252,0.39583334,0.4071454,2.0351462364196777
22,0.7443182,0.74469197,0.741869869557294,0.5416667,0.50363815,1.733307917912801
23,0.7462121,0.7287266,0.7038489462751331,0.5,0.50775534,2.275085081656774
24,0.80492425,0.79152775,0.5637718881621505,0.5520833,0.53651404,1.814269319176674
25,0.8219697,0.8100454,0.5105347547567252,0.5,0.5204653,1.7309784889221191
26,0.8068182,0.80358684,0.5221485202059601,0.5,0.5052231,1.720306118329366
0,0.38179347,0.29041213,1.8339894068953784,0.4972826,0.3461965,1.5445322679436726
1,0.46620244,0.38379598,1.5654888621166996,0.5,0.4108069,1.4756373957447384
2,0.5295516,0.44729605,1.4025489819114623,0.5557065,0.50286716,1.3215109796627709
3,0.563519,0.49861237,1.2996389697427335,0.6236413,0.5750922,1.1794294818587925
4,0.59171194,0.53233206,1.2214027831087941,0.6589674,0.6111278,1.0740160553351692
5,0.63485056,0.585782,1.1147276240846384,0.64538044,0.6252927,1.0912300173355185
6,0.65930706,0.61877203,1.0475664367980284,0.66983694,0.6564329,0.9972127216017764
7,0.6711956,0.6299446,1.000140869666053,0.71467394,0.6831953,0.8973736944405929
8,0.69191575,0.66477674,0.9375074096833882,0.7038044,0.69068426,0.9022106431100679
9,0.7043139,0.67299443,0.9022371694850533,0.66711956,0.64423525,1.0783318611590758
10,0.7126359,0.6819203,0.892482089607612,0.6861413,0.6610712,0.9211617086244666
11,0.7214674,0.6985119,0.8455924426569886,0.66032606,0.65309995,1.0821139196986738
12,0.72214675,0.69674605,0.8338698252387668,0.6929348,0.686911,0.9863194959319156
13,0.7418478,0.7164504,0.7941308901037859,0.6644022,0.64024705,0.9860562358213507
14,0.7411685,0.7237503,0.7734908972583387,0.72282606,0.71357405,0.8819960446461387
15,0.7433764,0.7321417,0.7546343985013664,0.70652175,0.6987389,0.9186344658551009
16,0.7505095,0.7362077,0.7259266362727984,0.73233694,0.72735494,0.8794192461215932
17,0.75475544,0.7404098,0.7110120032549553,0.7269022,0.7145879,0.8736040209946425
18,0.7652853,0.7502914,0.682156327544995,0.6807065,0.66102403,0.9337544778118962
19,0.77055025,0.7572395,0.6562854612813048,0.66032606,0.654763,1.3529317864905233
20,0.7790421,0.76648283,0.6289199896399742,0.7214674,0.7108337,0.823597421788651
21,0.7831182,0.7712261,0.6173619215336182,0.71875,0.72622716,0.8690644700242125
22,0.7834579,0.775549,0.6061137682636795,0.7173913,0.72289675,1.0152989836490673
23,0.7950068,0.78763074,0.571382572186058,0.69157606,0.6908278,1.0127963099790656
24,0.79381794,0.78209925,0.5750775115726434,0.7119565,0.70052946,0.9444157973579739
25,0.8053669,0.7978331,0.5360953866038471,0.7119565,0.7052669,0.9968594630127368
26,0.80944294,0.79880357,0.5312877277155286,0.7092391,0.70593923,0.9415537067081617
27,0.80723506,0.8048211,0.5302473773936862,0.73233694,0.7249886,0.9828120926799981
28,0.84171194,0.83568275,0.42884054607914196,0.7350544,0.7356268,0.773641049861908
29,0.85682744,0.85268515,0.37505768233424297,0.7445652,0.74608487,0.7657364250525184
30,0.8620924,0.8592883,0.35122784953969327,0.74592394,0.74122506,0.7629155788732611
31,0.866678,0.8637007,0.3399358940229792,0.7472826,0.74771035,0.7773555475084678
32,0.87143344,0.8657894,0.34091926785185933,0.73913044,0.7337012,0.812465517093306
33,0.8733016,0.87134916,0.3202107477042338,0.75,0.743988,0.783261302696622
34,0.8768682,0.8712185,0.31379378916007344,0.75,0.7479167,0.7660946888120278
35,0.8814538,0.8782147,0.3057801964713018,0.7445652,0.7372453,0.7719436534073042
36,0.8817935,0.87808394,0.30325568836870725,0.7486413,0.7446624,0.7834081361475198
37,0.8816236,0.8774064,0.29908663982970884,0.75407606,0.74899817,0.7993277894413989
38,0.8902853,0.8864369,0.27540514187927806,0.7554348,0.7470583,0.7862513943210893
39,0.88536006,0.88207775,0.2789408559910953,0.7527174,0.7532654,0.7806860811036566
40,0.8962296,0.89210933,0.277764598707385,0.7527174,0.7471171,0.7932167901940967
